ASV_ID	EB_pool_1_2	EB_pool_1_3	EB_pool_1	EB_pool_2_2	EB_pool_2_3	EB_pool_2	EB_pool_3_2	EB_pool_3_3	EB_pool_3	MTeDNA_pool_01_1	MTeDNA_pool_01_2	MTeDNA_pool_01_3	MTeDNA_pool_02_1	MTeDNA_pool_02_2	MTeDNA_pool_02_3	MTeDNA_pool_03_1	MTeDNA_pool_03_2	MTeDNA_pool_03_3	MTeDNA_pool_04_1	MTeDNA_pool_04_2	MTeDNA_pool_04_3	MTeDNA_S12_1	MTeDNA_S12_2	MTeDNA_S12_3	MTeDNA_S13_1	MTeDNA_S13_2	MTeDNA_S13_3	MTeDNA_S14_1	MTeDNA_S14_2	MTeDNA_S14_3	MTeDNA_S15_1	MTeDNA_S15_2	MTeDNA_S15_3	MTeDNA_S15_2_2	MTeDNA_S15_2_3	MTeDNA_S15_2	MTeDNA_S16_1	MTeDNA_S16_2	MTeDNA_S16_3	MTeDNA_S17_1	MTeDNA_S17_2	MTeDNA_S17_3	MTeDNA_S18_1	MTeDNA_S18_3	MTeDNA_S19_1	MTeDNA_S19_2	MTeDNA_S19_3	MTeDNA_S20_1	MTeDNA_S20_2	MTeDNA_S20_3	MTeDNA_S21_1	MTeDNA_S21_2	MTeDNA_S21_3	MTeDNA_S22_1	MTeDNA_S22_2	MTeDNA_S22_3	MTeDNA_S23_1	MTeDNA_S23_2	MTeDNA_S23_3	MTeDNA_S24_1	MTeDNA_S24_2	MTeDNA_S24_3	MTeDNA_S25_1	MTeDNA_S25_2	MTeDNA_S25_3	MTeDNA_S25_2_1	MTeDNA_S25_2_2	MTeDNA_S25_2_3	MTeDNA_S26_1	MTeDNA_S26_2	MTeDNA_S26_3	MTeDNA_S30_1	MTeDNA_S30_2	MTeDNA_S30_3	MTeDNA_S31_1	MTeDNA_S31_2	MTeDNA_S31_3	MTeDNA_S31_2_1	MTeDNA_S31_2_2	MTeDNA_S31_2_3	MTeDNA_S32_1	MTeDNA_S32_2	MTeDNA_S32_3	MTeDNA_S33_1	MTeDNA_S33_2	MTeDNA_S33_3	MTeDNA_S34_1	MTeDNA_S34_2	MTeDNA_S34_3	NTC_1	NTC_2	NTC_3	tap_pool_1_1	tap_pool_1_2	tap_pool_1_3	MTeDNA_S18_2
cb6a959f2765525272eecd19ad1b304c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0b055d4c2bafc21aaa3cd21d60543a94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5c99d4a5b520e04752d081c89fd5f4fe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bc4deba19c404e785d1b1dec57cc48bc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83d645f97a40bca0dc4d6d38135a5529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16c1aac1953f94910190b3f795e15475	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d43389222edaa99c039ed41a02ad31f2	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c4c30bc2296a4699f674fa58a899275f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7c3971bbebf41ea8bfc3004f0e12d58d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
afea927ec8baaad5f55165d2b65e6cca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
